Participant_Number,Condition,Core_ID,Day,Core working order during session,Beginning_Max_Length_(cm),Beginning_Max_Width_(cm),Beginning_Max_Thickness_(cm),Beginning_Mass_(g),Ending_Mass_(g),Reduction_Intensity_%,Number_of_Detached_Pieces_Total,Number_of_Whole_Flakes_Total,Quantity,Quality,Economy
1,Child,1,1,1,14.1,7.6,7.2,697,686,1.578192253,0,0,-2.67342,-3.34502,-0.97123
1,Child,3,1,2,14.3,7.8,6.6,870,748,14.02298851,5,3,-1.17611,-0.09258,1.54543
1,Child,31,2,1,14.3,8.7,5.2,589,408,30.73005093,7,2,-1.31629,-0.66091,0.41506
1,Child,201,2,2,13.2,11.1,9.7,1078,1002,7.050092764,3,1,-1.57525,0.30513,1.574
1,Child,149,3,1,20.2,13.5,5.6,1257,888,29.35560859,19,14,1.20936,-1.72388,2.92547
1,Child,7,4,1,13.5,12.9,6,940,514,45.31914894,6,1,-1.23555,-0.0114,0.43774
1,Child,4,4,2,11.3,10.7,3.4,427,289,32.31850117,7,6,-0.83793,-1.29605,1.01676
1,Child,89,4,3,13.2,12.9,7.1,1158,1110,4.14507772,2,0,-2.35808,-2.05298,-0.22555
1,Child,116,5,1,13.2,10.1,3.1,615,378,38.53658537,15,7,-0.03083,-0.83045,1.22256
1,Child,137,5,2,11.6,11.8,6.3,774,356,54.00516796,18,7,0.53914,-0.37821,0.94311
1,Child,256,5,3,16.2,9.6,6.8,1199,754,37.11426188,13,4,-0.07134,0.36674,1.01816
2,Child,14,1,1,13.8,9.7,6.6,1143,831,27.29658793,8,2,-1.22474,-0.46567,0.64184
2,Child,44,2,1,16.2,9.6,7.4,866,795,8.198614319,2,2,-1.51643,0.02686,1.64812
2,Child,32,2,2,13.4,8.4,5.9,446,407,8.744394619,2,0,-2.21163,-1.39983,0.09344
2,Child,78,3,1,12.4,9.7,8.8,882,790,10.430839,8,4,-1.32746,-1.45742,0.86243
2,Child,73,3,2,11,9.2,6.7,436,377,13.53211009,1,1,-1.44522,1.12126,2.15483
2,Child,105,4,1,12,9.3,7.9,1038,1016,2.119460501,0,0,-2.67022,-3.34302,-0.98386
2,Child,34,4,2,18.7,11.5,5.8,835,655,21.55688623,10,4,-0.62329,-0.22347,1.41898
2,Child,117,5,1,11.4,7,5.3,461,312,32.32104121,6,2,-1.09523,-0.104,0.9057
2,Child,258,5,2,16.4,13.1,5.8,1102,1032,6.352087114,5,1,-1.7508,-0.9293,0.75686
3,Child,8,1,1,12,11.3,6.1,790,706,10.63291139,3,2,-1.61042,-0.52608,1.2598
3,Child,30,1,2,18.9,10.6,5.2,1029,694,32.55587949,6,3,-1.20873,-0.56196,0.75582
3,Child,46,2,1,16.7,10.2,4.3,930,375,59.67741935,15,9,0.17009,-1.05671,0.82124
3,Child,38,2,2,11.6,9.1,5.4,600,226,62.33333333,11,1,-0.87432,0.04988,-0.49479
3,Child,79,3,1,14.6,8.6,4.4,739,208,71.85385656,8,4,-0.31206,0.58805,1.01018
3,Child,75,3,2,16.2,7.4,5.4,555,144.2,74.01801802,10,2,-0.83037,-0.30387,-0.81043
3,Child,171,3,3,13.6,12.1,4.5,1111,268,75.87758776,18,8,0.58599,-0.91344,0.17167
3,Child,13,4,1,10,9.2,8.5,414,351,15.2173913,3,3,-1.4978,-0.73776,1.18365
3,Child,119,4,2,16.1,9,7.2,1151,789,31.45091225,16,6,-0.13837,-0.82877,0.89965
3,Child,37,4,3,12.8,7.1,6.4,803,648,19.30261519,8,3,-1.10448,-0.54877,1.03149
3,Child,118,5,1,13.1,11.9,5.3,623,327,47.51203852,13,4,-0.37509,-0.30095,0.5954
3,Child,142,5,2,16.7,9.1,6.3,960,156.9,83.65625,10,1,-0.49454,1.17009,-0.59758
3,Child,260,5,3,15,8.4,7.7,1128,988,12.41134752,6,1,-1.55093,-0.45066,0.67038
4,Child,6,1,1,13.9,8.8,3.3,462,333,27.92207792,3,0,-2.01118,-1.16407,-0.28897
4,Child,9,1,2,15.6,11,3.8,703,404,42.53200569,6,1,-1.35255,-0.22888,0.14116
4,Child,42,1,3,14.8,11.7,8.2,1129,903,20.01771479,6,3,-0.8918,0.2517,1.50177
4,Child,39,2,1,17.2,9.1,5.2,498,277,44.37751004,4,0,-1.8021,-0.84456,-0.55013
4,Child,131,2,2,14.8,7.8,9.4,1007,885,12.11519364,6,3,-1.14845,-0.17107,1.66352
4,Child,48,2,3,14.3,10.2,8.1,864,573,33.68055556,13,4,-0.54435,-0.41398,0.79115
4,Child,185,3,1,11.1,10.1,9.4,1163,529,54.51418745,9,4,-0.05257,0.8155,0.24203
4,Child,76,3,2,11.7,8.2,7.2,546,209,61.72161172,7,1,-1.41988,-1.021,-0.97379
4,Child,121,4,1,13.4,11.1,8.9,1008,169.7,83.16468254,4,2,-0.88618,0.50865,-0.13389
4,Child,41,4,2,17.2,9.2,5.3,948,306,67.72151899,16,7,0.63671,-0.08034,0.63404
4,Child,18,4,3,12.8,11.6,3.3,666,314,52.85285285,3,0,-1.73999,-0.45194,-0.46039
4,Child,262,5,1,14,11.8,6.3,1012,497,50.88932806,14,2,-0.29934,0.7357,0.43827
4,Child,143,5,2,14.5,8.7,7.2,981,345,64.83180428,19,7,0.63695,-0.45591,0.36971
4,Child,120,5,3,12.7,7.7,4.5,537,273,49.16201117,12,7,0.17415,-0.16491,1.69308
5,Child,11,1,1,12.8,9.1,6.5,596,559,6.208053691,1,0,-2.15838,-0.71508,0.6674
5,Child,12,1,2,19.6,8.2,4.6,705,655,7.092198582,2,2,-1.76968,-0.85525,1.14372
5,Child,49,1,3,14.3,10.7,8.1,1065,708,33.52112676,8,1,-0.97529,0.7387,0.79542
5,Child,50,2,1,13.1,10.5,8.1,721,440,38.97364771,6,3,-1.12823,-0.36581,0.70699
5,Child,40,2,2,15.4,9.9,5.9,666,598,10.21021021,4,3,-1.23496,0.12064,1.94876
5,Child,132,2,3,16.9,16.2,4.7,1211,1011,16.51527663,5,4,-1.09418,-0.85378,1.0142
5,Child,81,3,1,13.9,7.6,6,452,328,27.43362832,9,4,-0.92176,-0.71651,0.90136
5,Child,85,3,2,15.7,11.6,7.7,827,537,35.06650544,9,4,-0.70412,-0.055,1.13981
5,Child,187,3,3,18.1,11.2,6.3,1154,575,50.17331023,10,7,-0.3746,-0.99072,0.87416
5,Child,63,4,1,12.3,9.6,3.7,426,292,31.45539906,8,1,-0.80728,1.32345,1.4863
5,Child,43,4,3,18.1,8.2,4.4,707,260,63.22489392,20,13,1.0554,-1.98633,1.21866
5,Child,155,4,3,11.7,7.6,7.8,951,758,20.29442692,5,4,-0.78878,0.00447,1.53032
5,Child,152,5,1,17.8,7.5,5.1,820,457,44.26829268,14,10,0.47475,-1.31124,1.5233
5,Child,122,5,2,15.6,10.8,3.1,553,170.1,69.24050633,3,1,-0.92903,1.48442,0.87518
5,Child,263,5,3,15.7,9.6,9.1,1192,585,50.92281879,21,6,0.29709,-0.94894,0.08464
